matchId,date,patch,durationMin,champion,position,win,kills,deaths,assists,kda,cs,csPerMin,goldPerMin,dmgPerMin,teamDmgPct,killParticipation,visionPerMin,controlWards,soloKills,timeDeadSec,deadPct,laneMinions10,laneGoldExpAdv,earlyLaneAdv,maxCsAdvOpp,visionAdvOpp,goldDiff10,csDiff10,xpDiff10,goldDiff14,csDiff14,xpDiff14,firstTowerKilledTime,turretPlates,doubleKills,tripleKills,quadraKills,pentaKills,surrenderEnd,earlySurrender
NA1_5095989740,1724785860,14.16,32.8,Ziggs,MIDDLE,1,9,5,11,4,200,6.1,399.7,879.7,24.4,55.6,0.81,1,3,200,10.2,54,0,0,32,0.53,1679,5,407,2008,11,793,0,3,0,0,0,0,0,0
NA1_5096658212,1724868427,14.17,35.1,MissFortune,BOTTOM,1,16,6,10,4.33,265,7.55,527.0,1297.7,28.8,52.0,1.1,2,0,172,8.2,50,0,0,61,0.62,657,-6,-76,804,6,-59,952.0,3,3,1,0,0,0,0
NA1_5096684632,1724871430,14.17,28.6,Nautilus,UTILITY,1,4,4,19,5.75,36,1.26,340.4,290.4,7.2,56.1,2.29,3,0,84,4.9,14,0,0,9.4,0.98,-151,-2,-753,555,2,-65,952.0,0,0,0,0,0,0,0
NA1_5096717146,1724873492,14.17,29.1,Caitlyn,BOTTOM,1,5,8,9,1.75,216,7.42,444.6,822.1,23.9,45.2,0.56,0,1,216,12.4,72,0,0,32,2.17,-463,4,-255,-581,4,-96,977.0,2,0,0,0,0,0,0
NA1_5096747922,1724875700,14.17,23.3,Jhin,BOTTOM,0,1,4,3,1,173,7.42,359.6,258.2,12.6,33.3,0.78,2,0,135,9.7,73,0,0,13,0.21,224,13,779,-370,-2,206,0,1,0,0,0,0,0,0
NA1_5098356299,1724991528,14.17,37.1,Caitlyn,BOTTOM,1,12,3,5,5.67,332,8.95,506.9,944.6,25.1,45.9,1.06,2,1,150,6.7,63,0,0,79.0,1.07,49,-4,-114,595,4,250,864.0,0,1,0,0,0,1,0
NA1_5103672516,1725424900,14.17,33.0,Jhin,BOTTOM,0,13,10,10,2.3,193,5.84,475.7,1010.4,26.9,62.2,0.58,2,1,238,12.0,38,0,0,8,1.74,-1840,-21,-1239,-1611,-26,-1574,941.0,0,1,0,0,0,0,0
NA1_5118891696,1727072026,14.18,28.0,Jhin,BOTTOM,0,2,7,6,1.14,190,6.79,368.2,307.1,11.8,47.1,1.05,1,0,171,10.2,55,0,0,21,0.48,-490,7,-336,-835,3,-1127,860.0,2,0,0,0,0,0,0
NA1_5133437330,1728946686,14.20,27.9,Jhin,BOTTOM,1,2,1,7,9,267,9.57,427.1,364.2,12.3,37.5,0.97,1,1,40,2.4,69,0,0,60.0,-0.14,615,12,96,921,34,39,853.0,1,0,0,0,0,1,0
NA1_5133461366,1728948845,14.20,28.3,Kaisa,BOTTOM,0,3,9,5,0.89,204,7.2,378.5,488.4,16.0,38.1,0.69,0,0,212,12.5,54,0,0,18,-0.08,-1072,7,6,-1795,-3,-303,0,0,0,0,0,0,0,0
NA1_5133484695,1728950980,14.20,28.5,Caitlyn,BOTTOM,1,4,7,17,3,211,7.41,459.2,1085.3,29.7,56.8,0.7,0,0,174,10.2,65,0,0,22,0.04,180,8,-96,296,14,-256,918.0,3,0,0,0,0,0,0
